"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.0008611,0.00089094,0.051894,0.014319,0.019864,0.012767,0,0,0.083278,-0.014417,0,0.06639,0,0,0,0.056367,0.0098452,0.019864,17.165,0.028692,0.042506,3.5945e-06,0,0,0
0.0016656,0.001678,0.047217,0.0086794,0.016769,0.0095209,0,0,0.079166,-0.021033,0,0.049509,0,0,0,0.050001,0.005896,0.016769,12.942,0.024222,0.039871,2.7421e-06,0.02,0,0
0.0031666,0.0030877,0.039619,0.0022724,0.012567,0.0047942,0,0,0.070335,-0.026767,0,0.02493,0,0,0,0.040347,0.0015443,0.012567,6.981,0.018153,0.034634,1.5116e-06,0.04,0,0
0.0044789,0.0042278,0.034692,0.0010074,0.01071,0.002679,0,0,0.062354,-0.025226,0,0.013931,0,0,0,0.034948,0.00075116,0.01071,4.4003,0.01547,0.030466,9.6794e-07,0.06,0,0
0.0056608,0.0051849,0.03147,0.00034726,0.0095452,0.0017037,0,0,0.057005,-0.023915,0,0.0088594,0,0,0,0.031581,0.00023632,0.0095452,3.0536,0.013788,0.027882,7.1902e-07,0.08,0,0
0.0067591,0.0060036,0.029424,0.0001047,0.0088587,0.0011653,0,0,0.053471,-0.02276,0,0.0060593,0,0,0,0.029479,4.9595e-05,0.0088587,2.2287,0.012796,0.026163,5.86e-07,0.1,0,0
0.0077996,0.006712,0.028004,-1.309e-05,0.0083971,0.00084039,0,0,0.050977,-0.021867,0,0.00437,0,0,0,0.028033,-4.3017e-05,0.0083971,1.6879,0.012129,0.024952,5.0439e-07,0.12,0,0
0.0087982,0.007328,0.026974,-7.1274e-05,0.0080708,0.00062777,0,0,0.049148,-0.021169,0,0.0032644,0,0,0,0.026991,-8.8563e-05,0.0080708,1.3092,0.011658,0.024061,4.5033e-07,0.14,0,0
0.0097655,0.0078639,0.026201,-0.00010173,0.0078299,0.00048047,0,0,0.047766,-0.020622,0,0.0024984,0,0,0,0.026212,-0.00011215,0.0078299,1.032,0.01131,0.023387,4.1246e-07,0.16,0,0
0.010709,0.0083285,0.02561,-0.00011723,0.0076477,0.00037326,0,0,0.046701,-0.020189,0,0.001941,0,0,0,0.025616,-0.00012366,0.0076477,0.82067,0.011047,0.022867,3.8492e-07,0.18,0,0
