"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.039736,0.02865,0.0041919,1.7198e-06,0.00041937,3.0406e-05,0,0,0.041499,-0.0045941,0,0.00066892,0,0,0,0.0041922,1.4992e-06,0.00041937,0.41573,0.0015377,0.0039981,3.1619e-09,0.5,0,0
0.040563,0.029364,0.0041659,2.0046e-06,0.00041679,2.4904e-05,0,0,0.04124,-0.0045627,0,0.00054789,0,0,0,0.0041661,1.8556e-06,0.00041679,0.34266,0.0015282,0.003973,3.1028e-09,0.52,0,0
0.041385,0.03008,0.0041449,2.5195e-06,0.00041474,2.4275e-05,0,0,0.041031,-0.0045344,0,0.00053405,0,0,0,0.004145,2.3772e-06,0.00041474,0.33575,0.0015207,0.0039526,3.0555e-09,0.54,0,0
0.042204,0.030811,0.004117,3.3068e-06,0.00041203,2.7779e-05,0,0,0.040754,-0.0044959,0,0.00061113,0,0,0,0.0041171,3.1192e-06,0.00041203,0.38688,0.0015108,0.0039256,2.9936e-09,0.56,0,0
0.043015,0.031569,0.0040729,4.1444e-06,0.0004077,3.4456e-05,0,0,0.040317,-0.0044392,0,0.00075804,0,0,0,0.0040732,3.8526e-06,0.0004077,0.48516,0.0014949,0.0038832,2.898e-09,0.58,0,0
0.043817,0.032365,0.0040059,4.6879e-06,0.00040106,4.3492e-05,0,0,0.039653,-0.0043601,0,0.00095683,0,0,0,0.0040063,4.2152e-06,0.00040106,0.6227,0.0014705,0.0038192,2.7573e-09,0.6,0,0
0.044602,0.033205,0.0039111,4.6829e-06,0.00039157,5.434e-05,0,0,0.038714,-0.0042558,0,0.0011955,0,0,0,0.0039118,3.9271e-06,0.00039157,0.79682,0.0014358,0.0037292,2.5668e-09,0.62,0,0
0.045365,0.034093,0.0037849,4.0951e-06,0.0003789,6.6588e-05,0,0,0.037466,-0.0041228,0,0.0014649,0,0,0,0.003786,2.9227e-06,0.0003789,1.0087,0.0013893,0.0036098,2.3278e-09,0.64,0,0
0.0461,0.03503,0.003625,3.0827e-06,0.00036281,7.9736e-05,0,0,0.035884,-0.003957,0,0.0017542,0,0,0,0.0036268,1.3282e-06,0.00036281,1.2605,0.0013303,0.0034589,2.0473e-09,0.66,0,0
0.0468,0.036015,0.0034307,1.8601e-06,0.00034326,9.3069e-05,0,0,0.033962,-0.0037554,0,0.0020475,0,0,0,0.0034332,-6.6417e-07,0.00034326,1.5536,0.0012586,0.0032755,1.738e-09,0.68,0,0
0.047459,0.03704,0.0032032,5.6638e-07,0.00032038,0.00010572,0,0,0.031711,-0.0035179,0,0.0023259,0,0,0,0.0032067,-2.9197e-06,0.00032038,1.8886,0.0011747,0.0030608,1.4175e-09,0.7,0,0
0.048069,0.0381,0.0029459,-7.8139e-07,0.00029451,0.00011686,0,0,0.029166,-0.0032482,0,0.0025709,0,0,0,0.0029506,-5.4083e-06,0.00029451,2.2674,0.0010799,0.002818,1.1055e-09,0.72,0,0
0.048625,0.039183,0.002664,-2.249e-06,0.00026617,0.00012587,0,0,0.026376,-0.0029526,0,0.0027692,0,0,0,0.0026699,-8.1781e-06,0.00026617,2.6969,0.00097597,0.002552,8.2045e-10,0.74,0,0
0.049124,0.040278,0.0023636,-3.9177e-06,0.00023597,0.00013249,0,0,0.023404,-0.0026387,0,0.0029148,0,0,0,0.002371,-1.1309e-05,0.00023597,3.1931,0.00086521,0.0022688,5.7583e-10,0.76,0,0
0.049562,0.041372,0.002051,-5.8434e-06,0.00020451,0.00013677,0,0,0.020311,-0.0023139,0,0.003009,0,0,0,0.00206,-1.4898e-05,0.00020451,3.7878,0.00074987,0.0019744,3.7887e-10,0.78,0,0
0.049936,0.042453,0.0017317,-8.0527e-06,0.00017236,0.00013905,0,0,0.017153,-0.0019846,0,0.0030591,0,0,0,0.0017427,-1.9096e-05,0.00017236,4.541,0.000632,0.0016743,2.3048e-10,0.8,0,0
0.050248,0.043509,0.0014101,-1.056e-05,0.00013996,0.00013985,0,0,0.013972,-0.0016557,0,0.0030767,0,0,0,0.0014238,-2.4196e-05,0.00013996,5.5689,0.00051318,0.0013733,1.2663e-10,0.82,0,0
0.050495,0.044526,0.001089,-1.3391e-05,0.00010756,0.00013983,0,0,0.010795,-0.0013304,0,0.0030763,0,0,0,0.0011064,-3.0852e-05,0.00010756,7.1177,0.00039437,0.0010748,6.0213e-11,0.84,0,0
0.05068,0.045496,0.00076896,-1.6606e-05,7.5235e-05,0.00013973,0,0,0.007631,-0.0010103,0,0.003074,0,0,0,0.00079307,-4.0718e-05,7.5235e-05,9.7911,0.00027586,0.00078228,2.2777e-11,0.86,0,0
0.0508,0.046406,0.0004488,-2.0347e-05,4.2845e-05,0.00014036,0,0,0.0044655,-0.00069511,0,0.003088,0,0,0,0.00048759,-5.9135e-05,4.2845e-05,15.448,0.0001571,0.00050354,5.6612e-12,0.88,0,0
0.050858,0.047247,0.00012453,-2.4917e-05,9.9613e-06,0.00014274,0,0,0.0012603,-0.00038366,0,0.0031403,0,0,0,0.00021092,-0.00011131,9.9613e-06,31.184,3.6525e-05,0.00028189,4.7485e-13,0.9,0,0
0.050851,0.04801,-0.0002116,-3.1102e-05,-2.427e-05,0.00014821,0,0,-0.0020606,-7.5148e-05,0,0.0032606,0,0,0,5.2174e-05,-0.00029488,-2.427e-05,60.669,-8.8991e-05,0.00031584,-1.3042e-12,0.92,0,0
0.050776,0.048684,-0.00057466,-4.0366e-05,-6.1502e-05,0.00015951,0,0,-0.0056447,0.0002325,0,0.0035092,0,0,0,3.6314e-06,-0.00061865,-6.1502e-05,74.58,-0.00022551,0.00059241,-1.0244e-11,0.94,0,0
0.050625,0.049257,-0.0010006,-6.1143e-05,-0.00010617,0.00017996,0,0,-0.0098386,0.00049533,0,0.0039591,0,0,0,-2.7851e-05,-0.0010339,-0.00010617,79.519,-0.0003893,0.00096925,-4.5737e-11,0.96,0,0
0.050382,0.049709,-0.0015897,-0.00010006,-0.00016897,0.0002232,0,0,-0.015628,0.00075806,0,0.0049103,0,0,0,-6.7335e-05,-0.0016224,-0.00016897,81.659,-0.00061957,0.0015068,-1.7302e-10,0.98,0,0
0.05,0.05,-0.0019539,-0.0002171,-0.0002171,0.00066176,0,0,-0.019105,-1.0267e-16,0,0.014559,0,0,0,6.3006e-06,-0.0021774,-0.0002171,71.346,-0.00079605,0.002081,-4.4489e-10,1,0,0
0,0,0.013411,0.0014901,0.0014901,0.0023614,0,0,0.13113,1.5179e-18,0,0.05195,0,0,0,0.013861,0.0010393,0.0014901,10.806,0.0054636,0.012603,1.0236e-07,0,0.02,0
0.0026225,0.001039,0.013264,0.00062901,0.0013893,0.0013519,0,0,0.13062,-0.0083634,0,0.029741,0,0,0,0.013407,0.00048599,0.0013893,6.0391,0.0050941,0.012494,9.8404e-08,0.02,0.02,0
0.0052249,0.0023193,0.01275,0.00031182,0.0013061,0.0010694,0,0,0.12588,-0.010937,0,0.023528,0,0,0,0.012841,0.00022053,0.0013061,4.8788,0.0047891,0.012114,8.8834e-08,0.04,0.02,0
0.0076576,0.0036102,0.011926,0.00016593,0.0012092,0.00080727,0,0,0.11789,-0.011476,0,0.01776,0,0,0,0.011981,0.00011077,0.0012092,3.9086,0.0044338,0.011361,7.295e-08,0.06,0.02,0
0.0099404,0.00491,0.011222,9.8668e-05,0.0011321,0.00065651,0,0,0.11099,-0.011367,0,0.014443,0,0,0,0.011261,6.0054e-05,0.0011321,3.3661,0.0041509,0.010705,6.0879e-08,0.08,0.02,0
0.012097,0.0062154,0.010625,6.2728e-05,0.0010688,0.00056104,0,0,0.10512,-0.011066,0,0.012343,0,0,0,0.010655,3.3011e-05,0.0010688,3.032,0.0039188,0.010143,5.1723e-08,0.1,0.02,0
0.014145,0.0075259,0.010102,4.1477e-05,0.0010144,0.0004989,0,0,0.099967,-0.010702,0,0.010976,0,0,0,0.010127,1.6797e-05,0.0010144,2.832,0.0037194,0.0096501,4.4497e-08,0.12,0.02,0
0.016096,0.0088402,0.0096302,2.7907e-05,0.00096581,0.00045715,0,0,0.095309,-0.010317,0,0.010057,0,0,0,0.009652,6.1925e-06,0.00096581,2.7195,0.0035413,0.0092035,3.8576e-08,0.14,0.02,0
0.017958,0.010156,0.009193,1.8842e-05,0.00092118,0.00042876,0,0,0.09099,-0.0099257,0,0.0094328,0,0,0,0.009213,-1.1527e-06,0.00092118,2.67,0.0033777,0.0087893,3.3582e-08,0.16,0.02,0
0.019735,0.011471,0.0087797,1.2701e-05,0.00087924,0.00040939,0,0,0.086906,-0.009532,0,0.0090066,0,0,0,0.0087988,-6.3746e-06,0.00087924,2.6678,0.0032239,0.0083975,2.9276e-08,0.18,0.02,0
0.021434,0.012783,0.0083834,8.6595e-06,0.0008392,0.00039607,0,0,0.082986,-0.009136,0,0.0087135,0,0,0,0.008402,-1.003e-05,0.0008392,2.7017,0.0030771,0.0080213,2.5507e-08,0.2,0.02,0
0.023055,0.014085,0.007999,6.284e-06,0.00080052,0.00038658,0,0,0.079183,-0.0087367,0,0.0085048,0,0,0,0.0080176,-1.237e-05,0.00080052,2.7626,0.0029353,0.007656,2.2174e-08,0.22,0.02,0
0.024601,0.015376,0.0076237,5.3473e-06,0.0007629,0.00037911,0,0,0.075469,-0.0083331,0,0.0083405,0,0,0,0.0076425,-1.3472e-05,0.0007629,2.8419,0.0027973,0.0072988,1.921e-08,0.24,0.02,0
0.026074,0.016647,0.0072562,5.7268e-06,0.0007262,0.00037206,0,0,0.071831,-0.0079252,0,0.0081853,0,0,0,0.0072753,-1.3315e-05,0.0007262,2.9299,0.0026627,0.0069484,1.6574e-08,0.26,0.02,0
0.027474,0.017895,0.0068968,7.3336e-06,0.00069041,0.00036395,0,0,0.06827,-0.0075138,0,0.008007,0,0,0,0.0069159,-1.184e-05,0.00069041,3.0156,0.0025315,0.0066047,1.4235e-08,0.28,0.02,0
0.028804,0.019112,0.0065466,1.006e-05,0.00065567,0.00035346,0,0,0.0648,-0.0071017,0,0.0077762,0,0,0,0.0065657,-8.9976e-06,0.00065567,3.0863,0.0024041,0.0062688,1.2174e-08,0.3,0.02,0
0.030066,0.020291,0.0062083,1.3738e-05,0.00062221,0.00033942,0,0,0.061448,-0.0066932,0,0.0074672,0,0,0,0.0062269,-4.8039e-06,0.00062221,3.1269,0.0022814,0.0059431,1.0377e-08,0.32,0.02,0
