"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.042783,0.046703,0.0079646,0.0016172,0.0028745,0.00088607,0,0,0.066171,-0.016345,0,0.023038,0,0,0,0.0080866,0.0014952,0.0028745,7.77,0.0041521,0.0060215,9.3285e-09,0.88,0.32,0
0.04409,0.047483,0.0078173,0.0017146,0.0028596,0.00084007,0,0,0.064451,-0.014885,0,0.021842,0,0,0,0.0079316,0.0016004,0.0028596,7.6657,0.0041305,0.0058053,8.535e-09,0.9,0.32,0
0.045361,0.048169,0.0076681,0.001866,0.0028602,0.00079376,0,0,0.062502,-0.012925,0,0.020638,0,0,0,0.0077756,0.0017586,0.0028602,7.6184,0.0041314,0.0055494,7.6753e-09,0.92,0.32,0
0.046591,0.048763,0.0075179,0.0020705,0.0028765,0.00073967,0,0,0.060338,-0.010478,0,0.019231,0,0,0,0.0076175,0.0019709,0.0028765,7.5587,0.004155,0.0052538,6.7526e-09,0.94,0.32,0
0.047775,0.049265,0.0073646,0.0023299,0.0029084,0.00067122,0,0,0.057931,-0.0075198,0,0.017452,0,0,0,0.0074539,0.0022406,0.0029084,7.4148,0.004201,0.0049153,5.7614e-09,0.96,0.32,0
0.048908,0.049671,0.0072591,0.0026723,0.0029794,0.00060923,0,0,0.055636,-0.0039925,0,0.01584,0,0,0,0.0073404,0.0025911,0.0029794,7.3976,0.0043036,0.0045707,4.8061e-09,0.98,0.32,0
0.049461,0.049848,0.0072315,0.0028709,0.0030307,0.00058588,0,0,0.05461,-0.0020775,0,0.015233,0,0,0,0.0073108,0.0027916,0.0030307,7.4835,0.0043777,0.0044065,4.3646e-09,1,0.32,0
0.00058546,0.0005192,0.0078662,0.0032052,0.0033214,0.0019999,0,0,0.059082,-0.0015109,0,0.051997,0,0,0,0.0086074,0.002464,0.0033214,20.316,0.0047976,0.0057633,9.1073e-09,0,0.34,0
0.0011816,0.0010495,0.0078881,0.0030514,0.0032819,0.0020124,0,0,0.059881,-0.0029954,0,0.052321,0,0,0,0.0086169,0.0023227,0.0032819,19.893,0.0047405,0.0058746,9.4896e-09,0.02,0.34,0
0.0023952,0.0021317,0.0079686,0.0027649,0.0032201,0.0020448,0,0,0.061731,-0.005917,0,0.053164,0,0,0,0.0086768,0.0020567,0.0032201,19.093,0.0046512,0.0061227,1.0382e-08,0.04,0.34,0
0.0036509,0.0032553,0.0080862,0.0025039,0.003177,0.0020801,0,0,0.063819,-0.0087505,0,0.054084,0,0,0,0.0087769,0.0018132,0.003177,18.357,0.004589,0.0063925,1.1399e-08,0.06,0.34,0
0.004948,0.004417,0.0082044,0.0022522,0.003137,0.0021061,0,0,0.065877,-0.011503,0,0.054758,0,0,0,0.008875,0.0015815,0.003137,17.65,0.0045312,0.0066541,1.2404e-08,0.08,0.34,0
0.006286,0.005613,0.0083239,0.0020105,0.0031003,0.0021219,0,0,0.067906,-0.014167,0,0.055169,0,0,0,0.0089715,0.0013628,0.0031003,16.961,0.0044782,0.0069063,1.3392e-08,0.1,0.34,0
0.0076642,0.0068391,0.0084448,0.0017806,0.0030676,0.0021273,0,0,0.069903,-0.016731,0,0.055311,0,0,0,0.0090668,0.0011586,0.0030676,16.283,0.004431,0.0071478,1.4359e-08,0.12,0.34,0
0.0090821,0.0080913,0.0085675,0.0015646,0.0030396,0.0021228,0,0,0.071862,-0.019175,0,0.055192,0,0,0,0.0091615,0.00097059,0.0030396,15.617,0.0043906,0.0073776,1.5302e-08,0.14,0.34,0
0.010539,0.0093657,0.0086923,0.001365,0.0030172,0.002109,0,0,0.073777,-0.021479,0,0.054834,0,0,0,0.0092568,0.00080052,0.0030172,14.966,0.0043582,0.0075948,1.6223e-08,0.16,0.34,0
0.012033,0.010659,0.0088198,0.0011845,0.0030013,0.0020872,0,0,0.075641,-0.023618,0,0.054268,0,0,0,0.0093539,0.00065039,0.0030013,14.334,0.0043352,0.0077987,1.7124e-08,0.18,0.34,0
0.013564,0.011967,0.0089506,0.0010263,0.0029931,0.002059,0,0,0.077448,-0.025568,0,0.053534,0,0,0,0.0094545,0.00052246,0.0029931,13.729,0.0043233,0.0079887,1.8009e-08,0.2,0.34,0
0.015131,0.013289,0.0090854,0.00089411,0.0029939,0.0020261,0,0,0.07919,-0.027297,0,0.05268,0,0,0,0.0095599,0.00041955,0.0029939,13.159,0.0043244,0.0081636,1.8883e-08,0.22,0.34,0
0.016732,0.014623,0.0092243,0.00079265,0.0030051,0.0019908,0,0,0.08085,-0.028762,0,0.051761,0,0,0,0.0096715,0.00034547,0.0030051,12.635,0.0043407,0.0083214,1.9745e-08,0.24,0.34,0
0.018365,0.015968,0.0093665,0.00072835,0.0030284,0.0019554,0,0,0.082394,-0.029901,0,0.05084,0,0,0,0.0097892,0.00030562,0.0030284,12.174,0.0043744,0.0084576,2.0583e-08,0.26,0.34,0
0.020028,0.017325,0.0095088,0.00071031,0.0030657,0.0019225,0,0,0.08376,-0.030621,0,0.049985,0,0,0,0.0099112,0.00030794,0.0030657,11.796,0.0044283,0.0085641,2.1364e-08,0.28,0.34,0
0.021715,0.018695,0.0096442,0.00075184,0.0031188,0.0018952,0,0,0.08483,-0.030771,0,0.049276,0,0,0,0.010032,0.00036428,0.0031188,11.536,0.004505,0.0086267,2.2012e-08,0.3,0.34,0
0.023421,0.020084,0.009759,0.00087244,0.0031894,0.0018769,0,0,0.085405,-0.030121,0,0.0488,0,0,0,0.010139,0.000492,0.0031894,11.445,0.004607,0.0086214,2.2387e-08,0.32,0.34,0
0.025132,0.021494,0.009832,0.0010999,0.0032796,0.0018715,0,0,0.085181,-0.028335,0,0.04866,0,0,0,0.010216,0.00071543,0.0032796,11.603,0.0047372,0.0085141,2.2272e-08,0.34,0.34,0
0.026828,0.022936,0.0098397,0.0014691,0.0033926,0.0018845,0,0,0.083812,-0.025006,0,0.048997,0,0,0,0.010246,0.0010632,0.0033926,12.139,0.0049005,0.0082685,2.1435e-08,0.36,0.34,0
0.028484,0.024419,0.0097715,0.0020025,0.0035322,0.0019238,0,0,0.081111,-0.019886,0,0.050019,0,0,0,0.010226,0.0015485,0.0035322,13.221,0.0051021,0.007877,1.9804e-08,0.38,0.34,0
0.030073,0.025958,0.0096154,0.0018786,0.0034482,0.0020183,0,0,0.069638,-0.013357,0,0.045602,0,0,0,0.01012,0.0013736,0.0034482,14.04,0.0049807,0.007949,1.8665e-08,0.4,0.34,0
0.03127,0.027316,0.0094324,0.00038504,0.0029452,0.0022283,0,0,0.042772,-0.0077587,0,0.029215,0,0,0,0.0099669,-0.00014946,0.0029452,13.597,0.0042542,0.0090423,2.0563e-08,0.42,0.34,0
0.031783,0.028234,0.0093196,-0.00092736,0.0025177,0.0025328,0,0,0.017301,-0.0051832,0,0.012482,0,0,0,0.0099208,-0.0015286,0.0025177,13.34,0.0036366,0.010082,2.416e-08,0.44,0.34,0
0.031962,0.028934,0.0092625,-0.00087644,0.0025158,0.0027735,0,0,0.0087707,-0.0044099,0,0.0072111,0,0,0,0.0099759,-0.0015899,0.0025158,14.369,0.003634,0.010157,2.5629e-08,0.46,0.34,0
0.032134,0.029644,0.0092454,-0.00041966,0.0026477,0.0028497,0,0,0.008577,-0.0039876,0,0.0074091,0,0,0,0.010023,-0.0011977,0.0026477,15.269,0.0038245,0.0098771,2.5397e-08,0.48,0.34,0
0.032305,0.030359,0.0092729,-0.00016852,0.0027313,0.0028129,0,0,0.008504,-0.0037698,0,0.0073136,0,0,0,0.010048,-0.00094315,0.0027313,15.395,0.0039452,0.009691,2.5108e-08,0.5,0.34,0
